Date,MTM
5/30/2025,-7500
6/2/2025,-3500
6/3/2025,1300
6/4/2025,6300
6/5/2025,-15200
6/6/2025,10000
6/9/2025,15000
6/10/2025,21000
6/11/2025,17000
6/12/2025,36200
6/13/2025,7500
6/16/2025,10200
6/17/2025,25100
6/18/2025,25200
6/19/2025,27500
6/20/2025,-600
6/23/2025,5800
6/24/2025,-9000
6/25/2025,6000
6/26/2025,5000
6/27/2025,1000
6/30/2025,-100000
7/1/2025,-100000
7/2/2025,10800
7/3/2025,36000
7/4/2025,16500
7/7/2025,-3000
7/8/2025,3700
7/9/2025,10700
7/10/2025,12800
7/11/2025,12200
7/14/2025,-8500
7/15/2025,-1100
7/16/2025,-600
7/17/2025,21000
7/18/2025,15500
7/21/2025,2000
7/22/2025,26500
7/23/2025,-1500
7/24/2025,14500
7/25/2025,4200
7/28/2025,18500
7/29/2025,11000
7/30/2025,11400
7/31/2025,5000
8/1/2025,9500
8/4/2025,1200
8/5/2025,24500
8/6/2025,40500
8/7/2025,-4000
8/8/2025,29000
8/11/2025,4000
8/12/2025,20000
8/13/2025,7500
8/14/2025,9800
8/18/2025,-25500
8/19/2025,-14200
8/20/2025,4200
8/21/2025,16500
8/22/2025,15100
8/25/2025,15000
8/26/2025,27500
8/28/2025,66000
8/29/2025,27000
9/1/2025,-1200
9/2/2025,1800
9/3/2025,-49000
9/4/2025,32500
9/5/2025,15500
9/8/2025,2300
9/9/2025,19400
9/10/2025,10500
9/11/2025,13000
9/12/2025,-19000
9/15/2025,5000
9/16/2025,5200
9/17/2025,2100
9/18/2025,-10080
9/19/2025,14300
9/22/2025,20000
9/23/2025,-3600
9/24/2025,15000
9/25/2025,11200
9/26/2025,2800
9/29/2025,16800
9/30/2025,34000
