trade_date,symbol,transaction_type,quantity,price,trade_value,charges,segment,strike,option_type
2025-07-31 09:15:00,63MOONS,BUY,17729,758.8127,13452990.36,0,eq,,
2025-07-31 15:15:00,63MOONS,SELL,17729,754.7785,13381468.03,0,eq,,
2025-07-31 09:16:00,AARTIDRUGS,BUY,4112,419.85,1726423.2,0,eq,,
2025-07-31 15:16:00,AARTIDRUGS,SELL,4112,419.85,1726423.2,0,eq,,
2025-07-31 09:17:00,ABCAPITAL,BUY,46500,279.3,12987450.0,0,fo,,
2025-07-31 15:17:00,ABCAPITAL,SELL,46500,280.0367,13021706.55,0,fo,,
2025-07-31 09:18:00,ACMESOLAR,BUY,9000,282.9855,2546869.5,0,eq,,
2025-07-31 15:18:00,ACMESOLAR,SELL,9000,287.8357,2590521.3,0,eq,,
2025-07-31 09:19:00,ADANIENSOL,BUY,1,865.0,865.0,0,eq,,
2025-07-31 15:19:00,ADANIENSOL,SELL,1,864.0,864.0,0,eq,,
2025-07-31 09:20:00,ADANIENT,BUY,1,2495.0,2495.0,0,eq,,
2025-07-31 15:20:00,ADANIENT,SELL,1,2502.2,2502.2,0,eq,,
2025-07-31 09:21:00,ADANIGREEN,BUY,174551,1079.8297,188485353.96,0,eq,,
2025-07-31 15:21:00,ADANIGREEN,SELL,174551,1081.9097,188848420.04,0,eq,,
2025-07-31 09:22:00,ADANIGREEN,BUY,85200,1110.7,94631640.0,0,fo,,
2025-07-31 15:22:00,ADANIGREEN,SELL,85200,1110.6169,94624559.88,0,fo,,
2025-07-31 09:23:00,ADANIGREEN,BUY,170400,1138.7271,194039097.84,0,fo,,
2025-07-31 15:23:00,ADANIGREEN,SELL,170400,1138.5202,194003842.08,0,fo,,
2025-07-31 09:24:00,ADANIPOWER,BUY,309579,191.1553,59177666.62,0,eq,,
2025-07-31 15:24:00,ADANIPOWER,SELL,309579,191.0828,59155222.14,0,eq,,
2025-07-31 09:25:00,ADVANCE,BUY,20000,147.9,2958000.0,0,eq,,
2025-07-31 15:25:00,ADVANCE,SELL,20000,147.9,2958000.0,0,eq,,
2025-07-31 09:26:00,AEGISLOG,BUY,3036,944.6,2867805.6,0,eq,,
2025-07-31 15:26:00,AEGISLOG,SELL,3036,944.6,2867805.6,0,eq,,
2025-07-31 09:27:00,AEGISVOPAK,BUY,5000,276.0,1380000.0,0,eq,,
2025-07-31 15:27:00,AEGISVOPAK,SELL,5000,276.0,1380000.0,0,eq,,
2025-07-31 09:28:00,AEROFLEX,BUY,8000,213.2097,1705677.6,0,eq,,
2025-07-31 15:28:00,AEROFLEX,SELL,8000,213.0085,1704068.0,0,eq,,
2025-07-31 09:29:00,AFFLE,BUY,700,2020.9267,1414648.69,0,eq,,
2025-07-31 15:29:00,AFFLE,SELL,700,1969.3,1378510.0,0,eq,,
2025-07-31 09:30:00,AHCL,BUY,30000,131.07,3932100.0,0,eq,,
2025-07-31 15:30:00,AHCL,SELL,30000,130.725,3921750.0,0,eq,,
2025-07-31 09:31:00,AIRFLOA,BUY,5000,339.4,1697000.0,0,eq,,
2025-07-31 15:31:00,AIRFLOA,SELL,5000,356.35,1781750.0,0,eq,,
2025-07-31 09:32:00,ALOKINDS,BUY,100000,19.76,1976000.0,0,eq,,
2025-07-31 15:32:00,ALOKINDS,SELL,100000,19.04,1904000.0,0,eq,,
2025-07-31 09:33:00,ALPEXSOLAR,BUY,2000,1109.5,2219000.0,0,eq,,
2025-07-31 15:33:00,ALPEXSOLAR,SELL,2000,1049.525,2099050.0,0,eq,,
2025-07-31 09:34:00,AMBER,BUY,3000,7052.25,21156750.0,0,eq,,
2025-07-31 15:34:00,AMBER,SELL,3000,7049.5,21148500.0,0,eq,,
2025-07-31 09:35:00,AMBER,BUY,6500,6649.5385,43222000.25,0,fo,,
2025-07-31 15:35:00,AMBER,SELL,6500,6647.0769,43205999.85,0,fo,,
2025-07-31 09:36:00,ANANTRAJ,BUY,7000,654.8952,4584266.4,0,eq,,
2025-07-31 15:36:00,ANANTRAJ,SELL,7000,645.7181,4520026.7,0,eq,,
2025-07-31 09:37:00,ANTHEM,BUY,9000,759.6717,6837045.3,0,eq,,
2025-07-31 15:37:00,ANTHEM,SELL,9000,745.2801,6707520.9,0,eq,,
2025-07-31 09:38:00,APEX,BUY,20000,263.36,5267200.0,0,eq,,
2025-07-31 15:38:00,APEX,SELL,20000,251.7858,5035716.0,0,eq,,
2025-07-31 09:39:00,APOLLO,BUY,179401,198.2144,35559861.57,0,eq,,
2025-07-31 15:39:00,APOLLO,SELL,179401,205.6678,36897008.99,0,eq,,
2025-07-31 09:40:00,APOLLOPIPE,BUY,5000,487.938,2439690.0,0,eq,,
2025-07-31 15:40:00,APOLLOPIPE,SELL,5000,474.1191,2370595.5,0,eq,,
2025-07-31 09:41:00,ARIES,BUY,12000,455.8579,5470294.8,0,eq,,
2025-07-31 15:41:00,ARIES,SELL,12000,455.5953,5467143.6,0,eq,,
2025-07-31 09:42:00,ARKADE,BUY,5000,206.2961,1031480.5,0,eq,,
2025-07-31 15:42:00,ARKADE,SELL,5000,202.9,1014500.0,0,eq,,
2025-07-31 09:43:00,ARROWGREEN,BUY,8158,659.2,5377753.6,0,eq,,
2025-07-31 15:43:00,ARROWGREEN,SELL,8158,659.1666,5377481.12,0,eq,,
2025-07-31 09:44:00,ARSSBL,BUY,15000,511.0711,7666066.5,0,eq,,
2025-07-31 15:44:00,ARSSBL,SELL,15000,566.0215,8490322.5,0,eq,,
2025-07-31 09:45:00,ASHAPURMIN,BUY,14000,486.9912,6817876.8,0,eq,,
2025-07-31 15:45:00,ASHAPURMIN,SELL,14000,485.6653,6799314.2,0,eq,,
2025-07-31 09:46:00,ASMTEC,BUY,500,3303.6865,1651843.25,0,eq,,
2025-07-31 15:46:00,ASMTEC,SELL,500,3294.0,1647000.0,0,eq,,
2025-07-31 09:47:00,ASTRAL,BUY,1,1284.2,1284.2,0,eq,,
2025-07-31 15:47:00,ASTRAL,SELL,1,1310.1,1310.1,0,eq,,
2025-07-31 09:48:00,ASTRAMICRO,BUY,1000,1122.3489,1122348.9,0,eq,,
2025-07-31 15:48:00,ASTRAMICRO,SELL,1000,1105.0,1105000.0,0,eq,,
2025-07-31 09:49:00,ATGL,BUY,402000,638.0134,256481386.8,0,eq,,
2025-07-31 15:49:00,ATGL,SELL,402000,637.6184,256322596.8,0,eq,,
2025-07-31 09:50:00,ATHERENERG,BUY,15000,565.4807,8482210.5,0,eq,,
2025-07-31 15:50:00,ATHERENERG,SELL,15000,616.1594,9242391.0,0,eq,,
2025-07-31 09:51:00,ATLANTAA,BUY,147383,66.4521,9793909.85,0,eq,,
2025-07-31 15:51:00,ATLANTAA,SELL,147383,66.5112,9802620.19,0,eq,,
2025-07-31 09:52:00,AUBANK,BUY,1,800.0,800.0,0,eq,,
2025-07-31 15:52:00,AUBANK,SELL,1,751.9,751.9,0,eq,,
2025-07-31 09:53:00,AUROPHARMA,BUY,1,1075.5,1075.5,0,eq,,
2025-07-31 15:53:00,AUROPHARMA,SELL,1,1080.5,1080.5,0,eq,,
2025-07-31 09:54:00,AVALON,BUY,6500,891.5385,5795000.25,0,eq,,
2025-07-31 15:54:00,AVALON,SELL,6500,878.2863,5708860.95,0,eq,,
2025-07-31 09:55:00,AVANTEL,BUY,26000,192.3545,5001217.0,0,eq,,
2025-07-31 15:55:00,AVANTEL,SELL,26000,188.1955,4893083.0,0,eq,,
2025-07-31 09:56:00,AWL,BUY,570000,263.8153,150374721.0,0,eq,,
2025-07-31 15:56:00,AWL,SELL,570000,263.8153,150374721.0,0,eq,,
2025-07-31 09:57:00,AXISCADES,BUY,10832,1742.9462,18879593.24,0,eq,,
2025-07-31 15:57:00,AXISCADES,SELL,10832,1743.6943,18887696.66,0,eq,,
2025-07-31 09:58:00,AZAD,BUY,19000,1592.3816,30255250.4,0,eq,,
2025-07-31 15:58:00,AZAD,SELL,19000,1592.3816,30255250.4,0,eq,,
2025-07-31 09:59:00,BAJAJCON,BUY,15000,202.9,3043500.0,0,eq,,
2025-07-31 15:59:00,BAJAJCON,SELL,15000,204.6835,3070252.5,0,eq,,
2025-07-31 10:00:00,BAJAJINDEF,BUY,12000,505.16,6061920.0,0,eq,,
