Stock Name,Symbol,Industry_O,Industry,Market Cap(Rs. Cr.),Exchange,Last Price,LTPP,LTP,Volume,Chng%,Chg%,Change,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio  (TTM),Price Earning Ratio(TTM),PEG Ratio,Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),52w_high_csv,52w_high,52w_low_csv,52w_low,EPS,,Symbol with Comma for External Upload,EPS_csv,EPS
20 Microns Ltd.,20MICRONS,Mining & Minerals,Mining & Minerals,887.98,NSE,150.94,253.55,150.94,58501,3.79,-3.26,-5.09,2,2024-09,115.73,987.15,2024-09,857.96,59.38,2024-09,14.95,8.27,0.83,2.31,2,2024-03,0.33,17.37,21.63,0,283.93,0,146.35,18.26,,,1,
21st Century Management Services Ltd.,21STCENMGM,Finance - Investment,Finance - Investment,96.84,NSE,32.99,93.03,32.99,237,2,1.01,0.33,2,2024-09,59.51,2024-09,1.63,0.03,1.02,2,2024-03,2024-03,0,86.99,78.43,"21STCENMGM,",,,,0,80.7,0,32.05,-20.94,,"523638,",1,
360 One Wam Ltd.,360ONE,Finance - Others,Finance - Others,50194.47,NSE,1042.7,1304.95,1042.7,332799,0.93,-2.53,-27.1,2,2024-09,923.95,2024-09,54.33,3.29,8.15,2,2024-03,36.59,2.83,25.3,14.54,"360ONE,",,,,0,1273.8,0,790.5,28.5,,,1,
Bright Outdoor Media Ltd.,BRIGHT,Advertising & Media,Advertising & Media,719.87,BSE,0,494.8,494.8,0,,,0,1,2024-09,4.21,724.08,2024-03,106.68,16.04,2024-03,44.88,44.88,,5.01,1,2024-03,0.09,13.39,15.41,0,0,0,0,0,,"532067,",TRUE,
3I Infotech Ltd.,3IINFOLTD,IT - Software,IT - Software,540.88,NSE,13.44,32.1,13.44,478897,0.66,-0.81,-0.09,2,2024-09,31.47,522.07,2024-09,766.57,-141.36,2024-09,0,9.51,,1.93,2,2024-03,0.15,-64.7,-53.9,0,26,0,12.68,1.41,,"531651,",1,
Innokaiz India Ltd.,INNOKAIZ,Advertising & Media,Advertising & Media,40.89,BSE,0,40,40,0,,,0,1,2024-09,19.95,60.85,2024-03,77.63,2.1,2024-03,19.45,19.45,,0.85,1,2024-03,0.39,5.6,8.9,0,0,0,0,0,,"3IINFOLTD,",TRUE,
3M India Ltd.,3MINDIA,Diversified,Diversified,34873.56,NSE,32800,30750.35,32800,1224,-0.67,-0.41,-135,1,2024-09,,34246.24,2024-09,4080.34,566.07,2024-09,61.61,97.72,6.31,20.94,2,2024-03,0,30.51,41.02,0,38030,0,26820.1,335.85,,"EFFWA,",1,
3P Land Holdings Ltd.,3PLAND,Finance - Investment,Finance - Investment,111.56,NSE,32.47,60.5,32.47,4579,-2.07,1.31,0.42,2,2024-09,2.08,2024-09,53.61,0.61,0.7,2,2024-03,27.39,0,2.19,2.93,"3PLAND,",,,,0,58.79,0,28.51,1.19,,,1,
3rd Rock Multimedia Ltd.,3RDROCK,Miscellaneous,Miscellaneous,145.5,NSE,0,64.6,64.6,0,,,0,1,2024-03,1.5,147,2024-03,4.85,-0.03,2024-03,0,0,,6.17,1,2014-03,0,7.6,11.7,0,0,0,0,0,,"PPSL,",1,
5Paisa Capital Ltd.,5PAISA,Finance - Stock Broking,Finance - Stock Broking,1492.34,NSE,290.6,480.55,290.6,35074,0.55,-2.27,-6.75,2,2024-09,62.85,2024-09,23.74,0.64,2.59,2,2024-03,20.96,0.64,11.09,13.39,"5PAISA,",,,,0,433.7,0,287.65,13.86,,"515059,",1,
63 Moons Technologies Ltd.,63MOONS,IT - Software,IT - Software,4154.21,NSE,538.9,913,538.9,81709,1.2,-3.51,-19.6,2,2024-09,,2665.53,2024-09,275.44,57.57,2024-09,56.71,56.71,1.01,1.25,2,2024-03,0,6.58,6.65,0,1130,0,537.9,-7.36,,,1,
A And M Jumbo Bags Ltd.,AMJUMBO,Plastic Products,Plastic Products,14.44,NSE,0,13.75,13.75,0,,,0,1,2024-09,7.55,21.8,2024-03,3.38,-0.1,2024-03,0,0,,1.68,2,2023-03,0.77,-18.72,-11.06,0,0,0,0,0,,"530991,",1,
A2Z Infra Engineering Ltd.,A2ZINFRA,Engineering - Construction,Engineering - Construction,473.06,NSE,15.95,25.75,15.95,77147,-3.27,-0.81,-0.13,2,2024-09,106.74,575.12,2024-09,353.48,12.45,2024-09,171.77,120.89,,16.08,2,2024-03,7.4,-25.32,0.56,0,23.25,0,12.35,0.13,,"543520,",1,
