trade_date,symbol,transaction_type,quantity,price,trade_value,charges,open,high,low,close,volume,t_score,f_score,total_score,is_52week_high,is_52week_low,is_alltime_high,is_alltime_low,trade_hour,trade_day_of_week,trade_month,pnl,holding_period_minutes
2025-08-04,EO CE ABB 28Aug2025 5700,SALE,125,19.9,2487.5,0,5310.0,5364.0,5014.5,5092.5,1957165,0.0,65.0,,False,False,False,False,0,0,8,0.0,0.0
2025-08-04,EO CE ABB 28Aug2025 5700,BUY,125,20.0,2500.0,0,5310.0,5364.0,5014.5,5092.5,1957165,0.0,65.0,,False,False,False,False,0,0,8,-12.500000000000178,0.0
2025-08-04,EO CE ABB 28Aug2025 5800,SALE,125,14.9,1862.5,0,5310.0,5364.0,5014.5,5092.5,1957165,0.0,65.0,,False,False,False,False,0,0,8,0.0,0.0
2025-08-21,EO CE ABB 28Aug2025 5800,BUY,125,2.55,318.75,0,5150.0,5195.0,5112.0,5141.5,377717,25.0,65.0,45.0,False,False,False,False,0,3,8,1543.7500000000002,24480.0
2025-09-12,EO CE ABCAPITAL 30Sep2025 320,SALE,3100,1.3,4030.0,0,290.95,295.0,288.9,291.5,5183899,100.0,45.0,72.5,True,False,True,False,0,4,9,0.0,0.0
2025-09-12,EO CE ABCAPITAL 30Sep2025 320,BUY,3100,1.1,3410.0,0,290.95,295.0,288.9,291.5,5183899,100.0,45.0,72.5,True,False,True,False,0,4,9,619.9999999999999,0.0
2025-09-24,EO CE ABCAPITAL 30Sep2025 320,SALE,6200,0.65,4030.0,0,291.45,299.4,290.5,291.95,9448934,100.0,45.0,72.5,True,False,True,False,0,2,9,0.0,0.0
2025-09-24,EO CE ABCAPITAL 30Sep2025 320,BUY,6200,0.25,1550.0,0,291.45,299.4,290.5,291.95,9448934,100.0,45.0,72.5,True,False,True,False,0,2,9,2480.0,0.0
2025-09-25,EO CE ADANIGREEN 30Sep2025 1260,SALE,600,1.7,1020.0,0,1096.05,1115.0,1076.3,1079.55,5390958,37.5,71.0,54.25,False,False,False,False,0,3,9,0.0,0.0
2025-09-25,EO CE ADANIGREEN 30Sep2025 1260,SALE,600,1.7,1020.0,0,1096.05,1115.0,1076.3,1079.55,5390958,37.5,71.0,54.25,False,False,False,False,0,3,9,0.0,0.0
2025-09-30,EO CE ADANIGREEN 30Sep2025 1260,BUY,1200,0.05,60.0,0,1037.0,1043.0,1010.5,1026.85,3520751,37.5,71.0,54.25,False,False,False,False,0,1,9,1980.0,7200.0
2025-06-16,EO CE ANGELONE 26Jun2025 3300,SALE,200,5.7,1140.0,0,2919.9,2952.0,2850.0,2930.5,781858,50.0,54.0,52.0,False,False,False,False,0,0,6,0.0,0.0
2025-06-16,EO CE ANGELONE 26Jun2025 3300,SALE,200,5.7,1140.0,0,2919.9,2952.0,2850.0,2930.5,781858,50.0,54.0,52.0,False,False,False,False,0,0,6,0.0,0.0
2025-06-19,EO CE ANGELONE 26Jun2025 3300,BUY,200,2.7,540.0,0,2869.0,2909.5,2775.3,2781.6,675724,37.5,54.0,45.75,False,False,False,False,0,3,6,600.0,4320.0
2025-06-24,EO CE ANGELONE 26Jun2025 3300,BUY,200,3.1,620.0,0,2986.0,3008.2,2938.0,2957.3,1088835,75.0,54.0,64.5,False,False,False,False,0,1,6,520.0,11520.0
2025-06-06,EO CE ANGELONE 26Jun2025 3600,SALE,200,22.5,4500.0,0,3252.0,3275.0,3200.0,3217.0,792282,75.0,54.0,64.5,False,False,False,False,0,4,6,0.0,0.0
2025-06-10,EO CE ANGELONE 26Jun2025 3600,SALE,200,10.95,2190.0,0,3218.0,3220.9,3123.0,3145.4,728254,62.5,54.0,58.25,False,False,False,False,0,1,6,0.0,0.0
2025-06-10,EO CE ANGELONE 26Jun2025 3600,SALE,200,10.95,2190.0,0,3218.0,3220.9,3123.0,3145.4,728254,62.5,54.0,58.25,False,False,False,False,0,1,6,0.0,0.0
2025-06-18,EO CE ANGELONE 26Jun2025 3600,BUY,200,1.8,360.0,0,2873.6,2919.1,2853.6,2866.9,552700,50.0,54.0,52.0,False,False,False,False,0,2,6,4140.0,17280.0
2025-06-19,EO CE ANGELONE 26Jun2025 3600,BUY,200,1.65,330.0,0,2869.0,2909.5,2775.3,2781.6,675724,37.5,54.0,45.75,False,False,False,False,0,3,6,1859.9999999999998,12960.0
2025-06-26,EO CE ANGELONE 26Jun2025 3600,BUY,200,0.05,10.0,0,2880.0,2915.0,2831.7,2903.0,1113413,50.0,54.0,52.0,False,False,False,False,0,3,6,2179.9999999999995,23040.0
2025-08-25,EO CE ANGELONE 28Aug2025 2700,SALE,250,2.8,700.0,0,2526.0,2539.0,2435.2,2446.9,1562966,6.25,44.0,25.12,False,False,False,False,0,0,8,0.0,0.0
2025-08-28,EO CE ANGELONE 28Aug2025 2700,BUY,250,0.05,12.5,0,2340.0,2349.6,2251.0,2259.4,1504243,6.25,44.0,25.12,False,False,False,False,0,3,8,687.5,4320.0
2025-07-04,EO CE ANGELONE 31Jul2025 3300,SALE,250,17.85,4462.5,0,2885.0,2885.0,2734.4,2776.0,2854583,25.0,44.0,34.5,False,False,False,False,0,4,7,0.0,0.0
2025-07-08,EO CE ANGELONE 31Jul2025 3300,SALE,250,7.0,1750.0,0,2788.1,2793.7,2607.7,2692.6,3415921,25.0,44.0,34.5,False,False,False,False,0,1,7,0.0,0.0
2025-07-08,EO CE ANGELONE 31Jul2025 3300,SALE,250,7.0,1750.0,0,2788.1,2793.7,2607.7,2692.6,3415921,25.0,44.0,34.5,False,False,False,False,0,1,7,0.0,0.0
2025-07-16,EO CE ANGELONE 31Jul2025 3300,BUY,250,5.45,1362.5,0,2675.0,2731.8,2660.8,2716.8,1250057,25.0,44.0,34.5,False,False,False,False,0,2,7,3100.0000000000005,17280.0
2025-07-16,EO CE ANGELONE 31Jul2025 3300,BUY,500,5.45,2725.0,0,2675.0,2731.8,2660.8,2716.8,1250057,25.0,44.0,34.5,False,False,False,False,0,2,7,774.9999999999999,11520.0
2025-08-19,EO CE ASHOKLEY 28Aug2025 140,BUY,5000,0.5,2500.0,0,131.76,133.55,127.11,133.28,40387936,100.0,66.0,83.0,True,False,True,False,0,1,8,0.0,0.0
2025-08-19,EO CE ASHOKLEY 28Aug2025 140,SALE,5000,0.25,1250.0,0,131.76,133.55,127.11,133.28,40387936,100.0,66.0,83.0,True,False,True,False,0,1,8,-1250.0,0.0
2025-09-24,EO CE ASHOKLEY 30Sep2025 150,SALE,10000,0.3,3000.0,0,142.5,143.99,139.6,142.26,36960853,75.0,66.0,70.5,False,False,False,False,0,2,9,0.0,0.0
2025-09-24,EO CE ASHOKLEY 30Sep2025 150,BUY,5000,0.55,2750.0,0,142.5,143.99,139.6,142.26,36960853,75.0,66.0,70.5,False,False,False,False,0,2,9,-1250.0000000000002,0.0
2025-09-24,EO CE ASHOKLEY 30Sep2025 150,BUY,5000,0.55,2750.0,0,142.5,143.99,139.6,142.26,36960853,75.0,66.0,70.5,False,False,False,False,0,2,9,-1250.0000000000002,0.0
2025-08-12,EO CE ASTRAL 28Aug2025 1400,SALE,425,3.3,1402.5,0,1310.1,1356.7,1263.7,1269.3,6627957,6.25,52.0,29.12,False,False,False,False,0,1,8,0.0,0.0
