symbol,buy_date,buy_price,buy_qty,sell_date,sell_price,sell_qty,pnl,holding_period_minutes,status
EO CE ABB 28Aug2025 5700,2025-08-04,20.0,125.0,2025-08-04,19.9,125.0,-12.500000000000178,0.0,CLOSED
EO CE ABB 28Aug2025 5800,2025-08-21,2.55,125.0,2025-08-04,14.9,125.0,1543.7500000000002,24480.0,CLOSED
EO CE ABCAPITAL 30Sep2025 320,2025-09-12,1.1,3100.0,2025-09-12,1.3,3100.0,619.9999999999999,0.0,CLOSED
EO CE ABCAPITAL 30Sep2025 320,2025-09-24,0.25,6200.0,2025-09-24,0.65,6200.0,2480.0,0.0,CLOSED
EO CE ADANIGREEN 30Sep2025 1260,2025-09-30,0.05,600.0,2025-09-25,1.7,600.0,990.0,7200.0,CLOSED
EO CE ADANIGREEN 30Sep2025 1260,2025-09-30,0.05,600.0,2025-09-25,1.7,600.0,990.0,7200.0,CLOSED
EO CE ANGELONE 26Jun2025 3300,2025-06-19,2.7,200.0,2025-06-16,5.7,200.0,600.0,4320.0,CLOSED
EO CE ANGELONE 26Jun2025 3300,2025-06-24,3.1,200.0,2025-06-16,5.7,200.0,520.0,11520.0,CLOSED
EO CE ANGELONE 26Jun2025 3600,2025-06-18,1.8,200.0,2025-06-06,22.5,200.0,4140.0,17280.0,CLOSED
EO CE ANGELONE 26Jun2025 3600,2025-06-19,1.65,200.0,2025-06-10,10.95,200.0,1859.9999999999998,12960.0,CLOSED
EO CE ANGELONE 26Jun2025 3600,2025-06-26,0.05,200.0,2025-06-10,10.95,200.0,2179.9999999999995,23040.0,CLOSED
EO CE ANGELONE 28Aug2025 2700,2025-08-28,0.05,250.0,2025-08-25,2.8,250.0,687.5,4320.0,CLOSED
EO CE ANGELONE 31Jul2025 3300,2025-07-16,5.45,250.0,2025-07-04,17.85,250.0,3100.0000000000005,17280.0,CLOSED
EO CE ANGELONE 31Jul2025 3300,2025-07-16,5.45,250.0,2025-07-08,7.0,250.0,387.49999999999994,11520.0,CLOSED
EO CE ANGELONE 31Jul2025 3300,2025-07-16,5.45,250.0,2025-07-08,7.0,250.0,387.49999999999994,11520.0,CLOSED
EO CE ASHOKLEY 28Aug2025 140,2025-08-19,0.5,5000.0,2025-08-19,0.25,5000.0,-1250.0,0.0,CLOSED
EO CE ASHOKLEY 30Sep2025 150,2025-09-24,0.55,5000.0,2025-09-24,0.3,5000.0,-1250.0000000000002,0.0,CLOSED
EO CE ASHOKLEY 30Sep2025 150,2025-09-24,0.55,5000.0,2025-09-24,0.3,5000.0,-1250.0000000000002,0.0,CLOSED
EO CE ASTRAL 28Aug2025 1400,2025-08-18,4.25,425.0,2025-08-12,3.3,425.0,-403.75000000000006,8640.0,CLOSED
EO CE AUBANK 26Jun2025 800,2025-06-23,9.1,1000.0,2025-06-23,9.9,1000.0,800.0000000000007,0.0,CLOSED
EO CE AUBANK 26Jun2025 800,2025-06-23,9.05,1000.0,2025-06-23,8.5,1000.0,-550.0000000000007,0.0,CLOSED
EO CE AUBANK 26Jun2025 820,2025-06-23,2.05,1000.0,2025-06-23,2.4,1000.0,350.0000000000001,0.0,CLOSED
EO CE AUBANK 26Jun2025 830,2025-06-16,1.25,1000.0,2025-06-13,1.9,1000.0,649.9999999999999,4320.0,CLOSED
EO CE AUBANK 26Jun2025 830,2025-06-16,1.25,1000.0,2025-06-13,1.9,1000.0,649.9999999999999,4320.0,CLOSED
EO CE AUBANK 26Jun2025 830,2025-06-24,1.1,1000.0,2025-06-19,2.0,1000.0,899.9999999999999,7200.0,CLOSED
EO CE AUBANK 26Jun2025 830,2025-06-24,1.1,1000.0,2025-06-23,1.3,1000.0,199.99999999999994,1440.0,CLOSED
EO CE AUBANK 26Jun2025 830,2025-06-24,1.1,1000.0,2025-06-23,1.35,1000.0,250.0,1440.0,CLOSED
EO CE AUBANK 26Jun2025 840,2025-06-19,1.3,1000.0,2025-06-19,1.9,1000.0,599.9999999999999,0.0,CLOSED
EO CE AUBANK 26Jun2025 850,2025-06-26,0.05,1000.0,2025-06-19,1.4,1000.0,1349.9999999999998,10080.0,CLOSED
EO CE AUBANK 26Jun2025 850,2025-06-26,0.05,1000.0,2025-06-19,1.4,1000.0,1349.9999999999998,10080.0,CLOSED
EO CE AUBANK 28Aug2025 780,2025-08-28,0.05,2000.0,2025-08-25,1.05,2000.0,2000.0,4320.0,CLOSED
EO CE AUBANK 28Aug2025 830,2025-08-18,1.0,1000.0,2025-08-08,3.9,1000.0,2900.0,14400.0,CLOSED
EO CE AUBANK 28Aug2025 830,2025-08-18,1.2,1000.0,2025-08-18,0.9,1000.0,-299.99999999999994,0.0,CLOSED
EO CE AUBANK 28Aug2025 830,2025-08-26,0.05,2000.0,2025-08-19,0.6,2000.0,1099.9999999999998,10080.0,CLOSED
EO CE AUBANK 28Aug2025 840,2025-08-18,0.85,1000.0,2025-08-08,2.8,1000.0,1949.9999999999998,14400.0,CLOSED
EO CE AUBANK 28Aug2025 840,2025-08-18,0.85,1000.0,2025-08-08,2.9,1000.0,2050.0,14400.0,CLOSED
EO CE AUBANK 28Aug2025 840,2025-08-18,0.85,1000.0,2025-08-08,2.9,1000.0,2050.0,14400.0,CLOSED
EO CE AUBANK 28Aug2025 840,2025-08-18,0.8,1000.0,2025-08-08,1.8,1000.0,1000.0,14400.0,CLOSED
EO CE AUBANK 28Aug2025 840,2025-08-18,0.8,1000.0,2025-08-08,2.8,1000.0,1999.9999999999998,14400.0,CLOSED
